,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tipo_de_registro,indicador,tipo_atualizacao,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nm_cidade_exterior,cod_pais,nm_pais,codigo_natureza_juridica,data_inicio_atividade,cnae_fiscal,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio,ddd_telefone_1,ddd_telefone_2,ddd_fax,correio_eletronico,qualificacao_responsavel,capital_social_empresa,porte_empresa,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,filler,"fim_registro
",latitude,longitude,endereco,mes_inicio_atividade,ano_inicio_atividade,mes_situacao_cadastral,ano_situacao_cadastral,data,mes_ano_abertura
0,0,0,131,131,1,F,,56712000122,1,MARQUES BRITO ENGENHARIA LTDA,,8,1994-05-02,9,,,,2062,1994-05-02,7111100,AVENIDA,CASTELO BRANCO,606,ED CIDADE SAO LUIS,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 606 ED CIDADE SAO LUIS SAO FRANCISCO cep: 65076090 MA ,brasil",5,1994,5,1994,1994-05-01,1994-05-01
1,1,1,153,153,1,F,,56750000266,2,R B M RODRIGUES PRODUCOES,ATRACAO VIDEO,2,2005-11-03,0,,,,2135,1996-08-30,5913800,AVENIDA,CASTELO BRANCO,92,S14 COLOSSAL CENTER,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 S14 COLOSSAL CENTER SAO FRANCISCO cep: 65099110 MA ,brasil",8,1996,11,2005,2005-11-01,1996-08-01
2,2,2,264,264,1,F,,61779000155,1,J DE OLIVEIRA COMERCIO E REPRESENTACOES LTDA,PRESTACIONAL MARSUL,8,2015-02-09,73,,,,2062,1994-05-06,4773300,AVENIDA,CASTELO BRANCO,753,SALA - 106,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,098 2273753,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 753 SALA - 106 SAO FRANCISCO cep: 65076090 MA ,brasil",5,1994,2,2015,2015-02-01,1994-05-01
3,3,3,278,278,1,F,,61802000101,1,AMRAL E SOUSA LTDA,MAXXI DATA COMERCIO E REPRESENTACAO,8,2015-02-09,73,,,,2062,1994-05-06,4744001,AVENIDA,CASTELO BRANCO,605,ED CID DE SL SL 218,SAO FRANCISCO,65076500.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 ED CID DE SL SL 218 SAO FRANCISCO cep: 65076500 MA ,brasil",5,1994,2,2015,2015-02-01,1994-05-01
4,4,4,303,303,1,F,,62906000130,1,AMARAL E SOUZA LTDA,MAXXI DATA COMERCIO E REPRESENTACAO,4,2018-11-06,63,,,,2062,1994-05-04,4647801,AVENIDA,CASTELO BRANCO,605,SALA 218,SAO FRANCISCO,65076500.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 218 SAO FRANCISCO cep: 65076500 MA ,brasil",5,1994,11,2018,2018-11-01,1994-05-01
5,5,5,894,894,1,F,,106717000112,1,P D DIAS - CONFECCOES,RAIO & SOL,8,2001-05-18,1,,,,2135,1994-07-07,4642701,AVENIDA,CASTELO BRANCO,92,SALA 23,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 SALA 23 SAO FRANCISCO cep: 65099110 MA ,brasil",7,1994,5,2001,2001-05-01,1994-07-01
6,6,6,909,909,1,F,,106772000102,1,J L CARDOSO,VIDEO ENCENA LOCADORA DE FILMES E GAMES,8,2009-11-23,1,,,,4014,1994-07-07,9001904,AVENIDA,CASTELO BRANCO,744 B,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,34,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 744 B  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1994,11,2009,2009-11-01,1994-07-01
7,7,7,997,997,1,F,,109447000365,2,IMAGEM DIVULGADORA DE PAINEIS LTDA,,8,1993-07-09,2,,,,2062,1984-05-31,7311400,AVENIDA,CASTELO BRANCO,401,SALA 208,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 401 SALA 208 SAO FRANCISCO cep: 65099110 MA ,brasil",5,1984,7,1993,1993-07-01,1984-05-01
8,8,8,1071,1071,1,F,,116381000179,1,R L COSTA FILHO,ELETRO CONSTRUCAO SIGNUS,8,1994-07-20,1,,,,2135,1994-07-20,4744001,AVENIDA,CASTELO BRANCO,111,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 111  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1994,7,1994,1994-07-01,1994-07-01
9,9,9,1083,1083,1,F,,118260000166,1,L R COSTA FILHO,ELETRO CONSTRUCAO SIGNUS,4,2018-09-11,63,,,,2135,1994-07-21,4744001,AVENIDA,CASTELO BRANCO,111,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 111  SAO FRANCISCO cep: 65099110 MA ,brasil",7,1994,9,2018,2018-09-01,1994-07-01
10,10,10,1239,1239,1,F,,132296000102,1,REINALDO MARTINS FERREIRA PINTO,NUCLEO DE CAPACITACAO E RECURSOS HUMANOS,4,2018-11-06,63,,,,4014,1994-08-04,8299799,AVENIDA,CASTELO BRANCO,401,SALA 205 2. ANDAR,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,34,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 401 SALA 205 2. ANDAR SAO FRANCISCO cep: 65099110 MA ,brasil",8,1994,11,2018,2018-11-01,1994-08-01
11,11,11,1724,1724,1,F,,180923000172,1,M H MOURA DA SILVA,BYXU CHYK & ELLAS,8,2008-12-31,71,,,,2135,1994-09-06,4781400,AVENIDA,CASTELO BRANCO,92,LOJA 02,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 LOJA 02 SAO FRANCISCO cep: 65099110 MA ,brasil",9,1994,12,2008,2008-12-01,1994-09-01
12,12,12,1775,1775,1,F,,186835000188,1,PIZZARIA MARTINS FONTENELE LTDA,PIZZARIA BELLA NAPOLI,2,2004-08-07,0,,,,2062,1994-09-12,5611201,AVENIDA,CASTELO BRANCO,107,,SAO FRANCISCO,65075090.0,MA,921,SAO LUIS,098 2354869,,,,49,10000.0,1,7,2007-07-01,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 107  SAO FRANCISCO cep: 65075090 MA ,brasil",9,1994,8,2004,2004-08-01,1994-09-01
13,13,13,1791,1791,1,F,,190680000153,1,ADILSON BRIGIDO GOMES COMERCIO,J REVESTIMENTOS,8,2008-12-31,71,,,,2135,1994-09-14,7490101,AVENIDA,CASTELO BRANCO,931 B,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 931 B  SAO FRANCISCO cep: 65099110 MA ,brasil",9,1994,12,2008,2008-12-01,1994-09-01
14,14,14,2062,2062,1,F,,216810000422,2,ANGRA CONSTRUCOES IMOBILIARIA LTDA,,2,2014-08-29,0,,,,2062,2014-08-29,4120400,AVENIDA,CASTELO BRANCO,559,: B;,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,98  32351921,98  32452135,98  32452135,,49,0.0,1,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559 : B; SAO FRANCISCO cep: 65076091 MA ,brasil",8,2014,8,2014,2014-08-01,2014-08-01
15,15,15,2115,2115,1,F,,225864000101,1,PAPELARIA E MAGAZINE ALTERNATIVA LTDA,,4,2018-12-07,63,,,,2062,1994-10-05,4712100,AVENIDA,CASTELO BRANCO,302,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-,-,"CASTELO BRANCO 302  SAO FRANCISCO cep: 65099110 MA ,brasil",10,1994,12,2018,2018-12-01,1994-10-01
16,16,16,2220,2220,1,F,,239153000196,1,J C INDUSTRIA DE ALIMENTOS LTDA,,8,2008-12-31,71,,,,2062,1994-10-13,4712100,AVENIDA,CASTELO BRANCO,120,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 120  SAO FRANCISCO cep: 65099110 MA ,brasil",10,1994,12,2008,2008-12-01,1994-10-01
17,17,17,2851,2851,1,F,,307625000109,1,E P BORGES DE LIMA,TELEMATICA,8,2014-12-16,1,,,,2135,1994-11-21,4789007,AVENIDA,CASTELO BRANCO,914,A,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 914 A SAO FRANCISCO cep: 65099110 MA ,brasil",11,1994,12,2014,2014-12-01,1994-11-01
